id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_groundcam_session_user,groundcam.session.user,model_groundcam_session,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_session_manager,groundcam.session.manager,model_groundcam_session,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_appointment_user,groundcam.appointment.user,model_groundcam_appointment,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_appointment_manager,groundcam.appointment.manager,model_groundcam_appointment,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_agent_user,groundcam.agent.user,model_groundcam_agent,helpdesk.group_helpdesk_user,1,0,0,0
access_groundcam_agent_manager,groundcam.agent.manager,model_groundcam_agent,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_session_tag_user,groundcam.session.tag.user,model_groundcam_session_tag,helpdesk.group_helpdesk_user,1,0,0,0
access_groundcam_session_tag_manager,groundcam.session.tag.manager,model_groundcam_session_tag,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_closure_type_user,groundcam.closure.type.user,model_groundcam_closure_type,helpdesk.group_helpdesk_user,1,0,0,0
access_groundcam_closure_type_manager,groundcam.closure.type.manager,model_groundcam_closure_type,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_create_session_wizard,groundcam.create.session.user,model_groundcam_create_session,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_create_appointment_wizard,groundcam.create.appointment.user,model_groundcam_create_appointment,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_webhook_delivery_manager,groundcam.webhook.delivery.manager,model_groundcam_webhook_delivery,helpdesk.group_helpdesk_manager,1,0,0,0
access_groundcam_session_media_user,groundcam.session.media.user,model_groundcam_session_media,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_session_media_manager,groundcam.session.media.manager,model_groundcam_session_media,helpdesk.group_helpdesk_manager,1,1,1,1
access_groundcam_end_session_wizard,groundcam.end.session.user,model_groundcam_end_session,helpdesk.group_helpdesk_user,1,1,1,0
access_groundcam_reschedule_appointment_wizard,groundcam.reschedule.appointment.user,model_groundcam_reschedule_appointment,helpdesk.group_helpdesk_user,1,1,1,0
